Script started on 2026-06-01 21:04:17+08:00 [<not executed on terminal>]
============================================================
训练配置 - 方案A (卷积+池化+分组池化)
============================================================
量子比特数: 8
Ansatz层数: 8
参数数量: 120
训练轮数: 40
批次大小: 50
学习率: 0.001
============================================================

加载并预处理数据...
训练样本数: 1000
预处理后数据维度: 8
标签分布: 0(数字4): 473, 1(数字9): 527
数据范围: [0.4924, 1.4732]

开始训练...
============================================================
训练样本数: 1000
[353秒] 样本 292/1000, 损失: 0.0268
[355秒] 样本 293/1000, 损失: 0.6994
[356秒] 样本 294/1000, 损失: 0.6994
[357秒] 样本 295/1000, 损失: 0.6994
[359秒] 样本 296/1000, 损失: 0.6994
[360秒] 样本 297/1000, 损失: 0.0268
[361秒] 样本 298/1000, 损失: 0.0268
[362秒] 样本 299/1000, 损失: 0.0268
[364秒] 样本 300/1000, 损失: 0.0268
[366秒] 样本 301/1000, 损失: 0.0259
[367秒] 样本 302/1000, 损失: 0.7042
[369秒] 样本 303/1000, 损失: 0.6969
[370秒] 样本 304/1000, 损失: 0.0259
[371秒] 样本 305/1000, 损失: 0.7042
[372秒] 样本 306/1000, 损失: 0.0259
[374秒] 样本 307/1000, 损失: 0.7042
[375秒] 样本 308/1000, 损失: 0.7042
[376秒] 样本 309/1000, 损失: 0.0259
[378秒] 样本 310/1000, 损失: 0.0259
[379秒] 样本 311/1000, 损失: 0.0282
[380秒] 样本 312/1000, 损失: 0.7042
[382秒] 样本 313/1000, 损失: 0.7020
[383秒] 样本 314/1000, 损失: 0.0259
[384秒] 样本 315/1000, 损失: 0.0259
[386秒] 样本 316/1000, 损失: 0.0259
[387秒] 样本 317/1000, 损失: 0.0331
[389秒] 样本 318/1000, 损失: 0.0259
[390秒] 样本 319/1000, 损失: 0.0259
[391秒] 样本 320/1000, 损失: 0.0259
[392秒] 样本 321/1000, 损失: 0.0282
[394秒] 样本 322/1000, 损失: 0.7042
[395秒] 样本 323/1000, 损失: 0.7042
[397秒] 样本 324/1000, 损失: 0.0259
[398秒] 样本 325/1000, 损失: 0.7042
[399秒] 样本 326/1000, 损失: 0.0259
[400秒] 样本 327/1000, 损失: 0.7042
[401秒] 样本 328/1000, 损失: 0.7042
[403秒] 样本 329/1000, 损失: 0.7042
[404秒] 样本 330/1000, 损失: 0.5676
[406秒] 样本 331/1000, 损失: 0.7042
[407秒] 样本 332/1000, 损失: 0.7019
[408秒] 样本 333/1000, 损失: 0.7042
[410秒] 样本 334/1000, 损失: 0.0259
[411秒] 样本 335/1000, 损失: 0.0259
[412秒] 样本 336/1000, 损失: 0.0259
[413秒] 样本 337/1000, 损失: 0.0259
[415秒] 样本 338/1000, 损失: 0.7042
[416秒] 样本 339/1000, 损失: 0.0259
[418秒] 样本 340/1000, 损失: 0.0489
[419秒] 样本 341/1000, 损失: 0.0259
[420秒] 样本 342/1000, 损失: 0.7042
[422秒] 样本 343/1000, 损失: 0.0259
[424秒] 样本 344/1000, 损失: 0.7042
[425秒] 样本 345/1000, 损失: 0.7042
[426秒] 样本 346/1000, 损失: 0.0259
[428秒] 样本 347/1000, 损失: 0.0259
[429秒] 样本 348/1000, 损失: 0.0259
[430秒] 样本 349/1000, 损失: 0.0260
[431秒] 样本 350/1000, 损失: 0.0259
[433秒] 样本 351/1000, 损失: 0.7089
[434秒] 样本 352/1000, 损失: 0.0250
[436秒] 样本 353/1000, 损失: 0.7089
[437秒] 样本 354/1000, 损失: 0.7089
[438秒] 样本 355/1000, 损失: 0.7089
[439秒] 样本 356/1000, 损失: 0.0250
[441秒] 样本 357/1000, 损失: 0.0263
[442秒] 样本 358/1000, 损失: 0.0250
[443秒] 样本 359/1000, 损失: 0.0250
[445秒] 样本 360/1000, 损失: 0.0250
[446秒] 样本 361/1000, 损失: 0.0250
[447秒] 样本 362/1000, 损失: 0.0250
[449秒] 样本 363/1000, 损失: 0.7089
[450秒] 样本 364/1000, 损失: 0.7089
[451秒] 样本 365/1000, 损失: 0.0250
[452秒] 样本 366/1000, 损失: 0.7089
[454秒] 样本 367/1000, 损失: 0.7089
[455秒] 样本 368/1000, 损失: 0.7089
[456秒] 样本 369/1000, 损失: 0.7044
[458秒] 样本 370/1000, 损失: 0.0250
[459秒] 样本 371/1000, 损失: 0.0250
[460秒] 样本 372/1000, 损失: 0.7089
[461秒] 样本 373/1000, 损失: 0.0250
[463秒] 样本 374/1000, 损失: 0.7089
[464秒] 样本 375/1000, 损失: 0.7089
[466秒] 样本 376/1000, 损失: 0.0250
[467秒] 样本 377/1000, 损失: 0.0250
[468秒] 样本 378/1000, 损失: 0.0250
[469秒] 样本 379/1000, 损失: 0.0250
[470秒] 样本 380/1000, 损失: 0.0250
[472秒] 样本 381/1000, 损失: 0.0250
[473秒] 样本 382/1000, 损失: 0.7089
[474秒] 样本 383/1000, 损失: 0.7089
[476秒] 样本 384/1000, 损失: 0.0326
[477秒] 样本 385/1000, 损失: 0.0250
[478秒] 样本 386/1000, 损失: 0.0250
[479秒] 样本 387/1000, 损失: 0.6444
[481秒] 样本 388/1000, 损失: 0.0405
[482秒] 样本 389/1000, 损失: 0.7089
[483秒] 样本 390/1000, 损失: 0.0250
[484秒] 样本 391/1000, 损失: 0.7089
[486秒] 样本 392/1000, 损失: 0.7089
[487秒] 样本 393/1000, 损失: 0.7067
[488秒] 样本 394/1000, 损失: 0.7089
[489秒] 样本 395/1000, 损失: 0.7005
[491秒] 样本 396/1000, 损失: 0.0250
[492秒] 样本 397/1000, 损失: 0.7089
[493秒] 样本 398/1000, 损失: 0.0250
[494秒] 样本 399/1000, 损失: 0.7089
[496秒] 样本 400/1000, 损失: 0.0250
[497秒] 样本 401/1000, 损失: 0.7137
[498秒] 样本 402/1000, 损失: 0.0241
[499秒] 样本 403/1000, 损失: 0.0241
[500秒] 样本 404/1000, 损失: 0.0241
[501秒] 样本 405/1000, 损失: 0.7137
[502秒] 样本 406/1000, 损失: 0.7137
[504秒] 样本 407/1000, 损失: 0.0241
[505秒] 样本 408/1000, 损失: 0.0241
[506秒] 样本 409/1000, 损失: 0.7137
[507秒] 样本 410/1000, 损失: 0.7137
[508秒] 样本 411/1000, 损失: 0.7037
[509秒] 样本 412/1000, 损失: 0.0241
[510秒] 样本 413/1000, 损失: 0.0241
[511秒] 样本 414/1000, 损失: 0.0241
[513秒] 样本 415/1000, 损失: 0.7137
[514秒] 样本 416/1000, 损失: 0.0241
[515秒] 样本 417/1000, 损失: 0.7137
[516秒] 样本 418/1000, 损失: 0.0241
[518秒] 样本 419/1000, 损失: 0.0279
[520秒] 样本 420/1000, 损失: 0.0241
[521秒] 样本 421/1000, 损失: 0.7137
[522秒] 样本 422/1000, 损失: 0.7137
[523秒] 样本 423/1000, 损失: 0.7137
[524秒] 样本 424/1000, 损失: 0.0241
[526秒] 样本 425/1000, 损失: 0.7137
[527秒] 样本 426/1000, 损失: 0.0241
[528秒] 样本 427/1000, 损失: 0.7137
[529秒] 样本 428/1000, 损失: 0.0241
[530秒] 样本 429/1000, 损失: 0.0241
[531秒] 样本 430/1000, 损失: 0.7137
[533秒] 样本 431/1000, 损失: 0.0247
[534秒] 样本 432/1000, 损失: 0.0241
[536秒] 样本 433/1000, 损失: 0.0241
[537秒] 样本 434/1000, 损失: 0.7137
[538秒] 样本 435/1000, 损失: 0.7137
[539秒] 样本 436/1000, 损失: 0.7137
[541秒] 样本 437/1000, 损失: 0.0241
